symbol,name,exchange,gatewayName,productClass,size,priceTick
sn1802,锡1802,SHFE,CTP,期货,1,10.0
MA708,甲醇MA708,CZCE,CTP,期货,10,1.0
sn1801,锡1801,SHFE,CTP,期货,1,10.0
sn1804,锡1804,SHFE,CTP,期货,1,10.0
sn1805,锡1805,SHFE,CTP,期货,1,10.0
cu1709C42500,cu1709C42500,INE,CTP,期权,5,1.0
cu1709P57000,cu1709P57000,INE,CTP,期权,5,1.0
MA706,甲醇MA706,CZCE,CTP,期货,10,1.0
MA707,甲醇MA707,CZCE,CTP,期货,10,1.0
au1708C125,au1708C125,INE,CTP,期权,1000,0.01
cu1711C33500,cu1711C33500,INE,CTP,期权,5,1.0
au1708C120,au1708C120,INE,CTP,期权,1000,0.01
PM803,普通小麦803,CZCE,CTP,期货,50,1.0
PM801,普通小麦801,CZCE,CTP,期货,50,1.0
cu1712P34500,cu1712P34500,INE,CTP,期权,5,1.0
cu1710C52000,cu1710C52000,INE,CTP,期权,5,1.0
PM805,普通小麦805,CZCE,CTP,期货,50,1.0
al1802,铝1802,SHFE,CTP,期货,5,5.0
al1803,铝1803,SHFE,CTP,期货,5,5.0
cu1709P45000,cu1709P45000,INE,CTP,期权,5,1.0
al1801,铝1801,SHFE,CTP,期货,5,5.0
al1804,铝1804,SHFE,CTP,期货,5,5.0
al1805,铝1805,SHFE,CTP,期货,5,5.0
fb1805,纤维板1805,DCE,CTP,期货,500,0.05
cu1709C58000,cu1709C58000,INE,CTP,期权,5,1.0
fb1801,纤维板1801,DCE,CTP,期货,500,0.05
cu1707P42000,cu1707P42000,INE,CTP,期权,5,1.0
fb1803,纤维板1803,DCE,CTP,期货,500,0.05
fb1802,纤维板1802,DCE,CTP,期货,500,0.05
cu1707C45000,cu1707C45000,INE,CTP,期权,5,1.0
fu1707,燃料油1707,SHFE,CTP,期货,50,1.0
fb1711,纤维板1711,DCE,CTP,期货,500,0.05
cu1710C43000,cu1710C43000,INE,CTP,期权,5,1.0
cu1711C35500,cu1711C35500,INE,CTP,期权,5,1.0
IC1709,中证500股指1709,CFFEX,CTP,期货,200,0.2
IC1706,中证500股指1706,CFFEX,CTP,期货,200,0.2
IC1707,中证500股指1707,CFFEX,CTP,期货,200,0.2
hc1709,热轧板1709,SHFE,CTP,期货,10,1.0
hc1708,热轧板1708,SHFE,CTP,期货,10,1.0
zn1706,锌1706,SHFE,CTP,期货,5,5.0
zn1707,锌1707,SHFE,CTP,期货,5,5.0
cu1709P48000,cu1709P48000,INE,CTP,期权,5,1.0
zn1708,锌1708,SHFE,CTP,期货,5,5.0
zn1709,锌1709,SHFE,CTP,期货,5,5.0
cu1712P36000,cu1712P36000,INE,CTP,期权,5,1.0
hc1707,热轧板1707,SHFE,CTP,期货,10,1.0
hc1706,热轧板1706,SHFE,CTP,期货,10,1.0
cu1710P49000,cu1710P49000,INE,CTP,期权,5,1.0
au1710C100,au1710C100,INE,CTP,期权,1000,0.01
cu1708C49000,cu1708C49000,INE,CTP,期权,5,1.0
au1710P75,au1710P75,INE,CTP,期权,1000,0.01
p1712,棕榈油1712,DCE,CTP,期货,10,2.0
rb1707,螺纹钢1707,SHFE,CTP,期货,10,1.0
p1710,棕榈油1710,DCE,CTP,期货,10,2.0
p1711,棕榈油1711,DCE,CTP,期货,10,2.0
sc1708,原油1708,INE,CTP,期货,100,0.2
sc1709,原油1709,INE,CTP,期货,100,0.2
cu1707P42500,cu1707P42500,INE,CTP,期权,5,1.0
sc1706,原油1706,INE,CTP,期货,100,0.2
sc1707,原油1707,INE,CTP,期货,100,0.2
cu1708C43500,cu1708C43500,INE,CTP,期权,5,1.0
rb1708,螺纹钢1708,SHFE,CTP,期货,10,1.0
cu1707C40500,cu1707C40500,INE,CTP,期权,5,1.0
b1801,黄大豆2号1801,DCE,CTP,期货,10,1.0
b1803,黄大豆2号1803,DCE,CTP,期货,10,1.0
b1805,黄大豆2号1805,DCE,CTP,期货,10,1.0
au1804P85,au1804P85,INE,CTP,期权,1000,0.01
au1804P80,au1804P80,INE,CTP,期权,1000,0.01
cu1707P40000,cu1707P40000,INE,CTP,期权,5,1.0
cu1708C38500,cu1708C38500,INE,CTP,期权,5,1.0
cu1710C44500,cu1710C44500,INE,CTP,期权,5,1.0
au1710P90,au1710P90,INE,CTP,期权,1000,0.01
au1710P95,au1710P95,INE,CTP,期权,1000,0.01
MA709,甲醇MA709,CZCE,CTP,期货,10,1.0
cu1709C46500,cu1709C46500,INE,CTP,期权,5,1.0
pp1711,聚丙烯1711,DCE,CTP,期货,5,1.0
pp1710,聚丙烯1710,DCE,CTP,期货,5,1.0
au1712C70,au1712C70,INE,CTP,期权,1000,0.01
pp1712,聚丙烯1712,DCE,CTP,期货,5,1.0
